gene,mean_exprs,type_border,bs
gene_2,0.33870967733333335,a_TRUE,NA
gene_2,0.4054982816666666,b_TRUE,NA
gene_2,1.016129032,a_FALSE,1.87573205
gene_2,1.216494845,b_FALSE,2.176600083
gene_20,1.2713178293333334,a_TRUE,NA
gene_20,0.8069381600000001,b_TRUE,NA
gene_20,3.813953488,a_FALSE,8.179740417
gene_20,2.42081448,b_FALSE,5.037472836
gene_21,3.6070336399999996,a_TRUE,NA
gene_21,0.4397496086666666,b_TRUE,NA
gene_21,10.82110092,a_FALSE,8.009556343
gene_21,1.319248826,b_FALSE,2.782704788
gene_22,0.43030303033333334,a_TRUE,NA
gene_22,1.4523809523333335,b_TRUE,NA
gene_22,1.290909091,a_FALSE,4.705649491
gene_22,4.357142857,b_FALSE,19.25102117
gene_23,3.481818183333333,a_TRUE,NA
gene_23,2.8095238096666666,b_TRUE,NA
gene_23,10.44545455,a_FALSE,13.07593221
gene_23,8.428571429,b_FALSE,2.931612985
gene_24,0.6009174313333333,a_TRUE,NA
gene_24,1.2634146339999999,b_TRUE,NA
gene_24,1.802752294,a_FALSE,2.674957716
gene_24,3.790243902,b_FALSE,5.94121684
gene_25,2.8632872503333338,a_TRUE,NA
gene_25,1.6546546546666667,b_TRUE,NA
gene_25,8.589861751,a_FALSE,9.166717735
gene_25,4.963963964,b_FALSE,6.968031017
gene_26,2.648809523666667,a_TRUE,NA
gene_26,0.48407643300000003,b_TRUE,NA
gene_26,7.946428571,a_FALSE,2.036069903
gene_26,1.452229299,b_FALSE,4.349417505
gene_27,0.6505636069999999,a_TRUE,NA
gene_27,0.3993055556666667,b_TRUE,NA
gene_27,1.951690821,a_FALSE,7.23203131
gene_27,1.197916667,b_FALSE,1.767092952
gene_28,0.534883721,a_TRUE,NA
gene_28,3.8556547633333333,b_TRUE,NA
gene_28,1.604651163,a_FALSE,2.299843613
gene_28,11.56696429,b_FALSE,8.097956381
gene_29,0.5398373983333333,a_TRUE,NA
gene_29,1.3240310076666666,b_TRUE,NA
gene_29,1.619512195,a_FALSE,2.241774581
gene_29,3.972093023,b_FALSE,4.898970225
gene_3,0.5,a_TRUE,NA
gene_3,1.086419753,b_TRUE,NA
gene_3,1.5,a_FALSE,9.957745796
gene_3,3.259259259,b_FALSE,1.96205914
gene_30,0.337837838,a_TRUE,NA
gene_30,0.5784753363333334,b_TRUE,NA
gene_30,1.013513514,a_FALSE,1.145627864
gene_30,1.735426009,b_FALSE,1.809242251
gene_31,1.4937611406666667,a_TRUE,NA
gene_31,0.615079365,b_TRUE,NA
gene_31,4.481283422,a_FALSE,11.86403256
gene_31,1.845238095,b_FALSE,13.31225512
gene_32,1.0995670996666667,a_TRUE,NA
gene_32,0.4102564103333333,b_TRUE,NA
gene_32,3.298701299,a_FALSE,9.458209495
gene_32,1.230769231,b_FALSE,1.943962289
gene_33,1.0252525253333333,a_TRUE,NA
gene_33,0.5866666666666667,b_TRUE,NA
gene_33,3.075757576,a_FALSE,6.938790719
gene_33,1.76,b_FALSE,1.98895956
gene_34,0.9264475743333334,a_TRUE,NA
gene_34,1.826984127,b_TRUE,NA
gene_34,2.779342723,a_FALSE,4.937706416
gene_34,5.480952381,b_FALSE,8.692692492
gene_35,0.4166666666666667,a_TRUE,NA
gene_35,1.9764150943333334,b_TRUE,NA
gene_35,1.25,a_FALSE,3.812903289
gene_35,5.929245283,b_FALSE,10.34395629
gene_36,0.7672672673333333,a_TRUE,NA
gene_36,0.6570972886666667,b_TRUE,NA
gene_36,2.301801802,a_FALSE,3.124638715
gene_36,1.971291866,b_FALSE,4.030509135
gene_37,0.8894080996666666,a_TRUE,NA
gene_37,2.430493273666667,b_TRUE,NA
gene_37,2.668224299,a_FALSE,5.986490415
gene_37,7.291479821,b_FALSE,5.464451134
gene_38,0.4089147286666666,a_TRUE,NA
gene_38,1.941704036,b_TRUE,NA
gene_38,1.226744186,a_FALSE,5.234459498
gene_38,5.825112108,b_FALSE,3.91436839
gene_39,0.7093023256666666,a_TRUE,NA
gene_39,0.453416149,b_TRUE,NA
gene_39,2.127906977,a_FALSE,11.72750667
gene_39,1.360248447,b_FALSE,7.806013691
gene_4,0.530516432,a_TRUE,NA
gene_4,0.5604575163333333,b_TRUE,NA
gene_4,1.591549296,a_FALSE,1.966515716
gene_4,1.681372549,b_FALSE,6.047465663
gene_40,0.4545454546666667,a_TRUE,NA
gene_40,1.6369047620000001,b_TRUE,NA
gene_40,1.363636364,a_FALSE,1.18239556
gene_40,4.910714286,b_FALSE,3.429703574
gene_41,1.7862838916666668,a_TRUE,NA
gene_41,0.33557046966666665,b_TRUE,NA
gene_41,5.358851675,a_FALSE,25.24528934
gene_41,1.006711409,b_FALSE,5.500663881
gene_42,1.443452381,a_TRUE,NA
gene_42,1.8303571429999999,b_TRUE,NA
gene_42,4.330357143,a_FALSE,3.611897882
gene_42,5.491071429,b_FALSE,6.360777959
gene_43,1.4130434783333332,a_TRUE,NA
gene_43,1.690909091,b_TRUE,NA
gene_43,4.239130435,a_FALSE,7.886263741
gene_43,5.072727273,b_FALSE,24.0243791
gene_44,0.5616438356666666,a_TRUE,NA
gene_44,3.719120136666667,b_TRUE,NA
gene_44,1.684931507,a_FALSE,2.734928978
gene_44,11.15736041,b_FALSE,18.30590628
gene_45,1.134529148,a_TRUE,NA
gene_45,1.1610845296666665,b_TRUE,NA
gene_45,3.403587444,a_FALSE,4.87673461
gene_45,3.483253589,b_FALSE,8.921271755
gene_46,0.4954954953333333,a_TRUE,NA
