gene,mean_exprs,bs,bs_conf
Nmral1,0.422018349,2.959365627,[2.95936563 1.57184272 5.96720641]
Nmt1,2.304147465,1.809096233,[1.64627757 1.18600125 3.24448238]
Nmt2,0.436363636,3.527184516,[3.52718452 2.13903513 6.05909219]
Nnmt,3.386363636,3.782568647,[3.78256865 3.01751761 4.64528582]
Nob1,1.580645161,9.38523818,[ 9.38523818  5.20544167 18.6862613 ]
Noc4l,0.977272727,1.187013143,[1.18701314 0.8484943  1.64339893]
Nol11,2.076576577,3.201107199,[3.10507398 2.44905719 3.96409156]
Nol12,1.459459459,1.542086919,[1.4032991  1.02861858 1.8543941 ]
Nol6,0.632075472,2.271868038,[2.27186804        NA        NA]
Nol7,2.308411215,2.706105241,[2.54373893 2.00045361 3.25445868]
Nol8,0.752336449,2.717669293,[2.71766929        NA        NA]
Nol9,1.848214286,2.141627685,[2.01313002 1.4574429  3.39428728]
Nolc1,3.674418605,5.978994775,[6.33773446 4.32183788 8.68136706]
Nom1,0.913043478,1.498873217,[1.40894082 1.01013702 2.01118763]
Nomo1,3.117647059,2.867555389,[2.86755539 1.81626295 4.79521423]
Nono,5.184079602,23.53992554,NA
Nop14,1.976851852,6.559651244,[ 6.55965124  4.1741175  10.45778026]
Nop16,5.316742081,7.536778033,[7.53677803 6.2527914  9.29999325]
Nop2,3.373831776,4.34965053,[4.34965053 3.31510101 6.42062423]
Nop56,5.055299539,11.1698714,[11.1698714   8.3975529  14.69110411]
Nop58,5.151515152,5.681196772,[5.68119677 4.25788522 8.45169366]
Nosip,1.74537037,3.591949744,[3.59194974 2.77288348 4.70539017]
Nostrin,0.026785714,1.495613682,[1.49561368        NA        NA]
Notch1,0.465116279,6.103639679,[ 6.10363968  3.30684222 11.45981856]
Notch3,0.04040404,4.940002922,[4.94000292        NA        NA]
Nov,0.172897196,1.442691287,[1.44269129 0.75924615 2.78743016]
Npat,1.015957447,4.423324914,[4.42332491 2.3280897  9.05971784]
Npc1,0.995327103,1.745054058,[1.74505406 1.0086946  3.33858986]
Npc2,15.21621622,10.91762654,[10.91762654  9.30207254 12.89754236]
Npdc1,2.754545455,2.80926432,[2.80926432 2.24428741 3.51850013]
Npepl1,1.106481481,1.328035101,[1.3280351  0.96273008 1.81606182]
Npepps,4.096618357,2.765843411,[2.76584341 2.21598486 3.45659299]
Nphp1,0.473429952,1.603445409,[1.60344541 0.95083459 3.43739618]
Nphp4,0.301801802,3.581919108,[ 3.58191911  1.65877876 10.43489922]
Npl,0.180995475,2.386356171,[2.38635617 1.26745441 4.63399308]
Npm1,24.52488688,19.58265659,[19.58265659 16.80899946 22.99416227]
Npnt,1.076190476,5.795133411,[5.79513341 4.20561429 8.26839265]
Nppb,0.28959276,6.190809424,[ 6.19080942  3.12312972 13.76006498]
Npr1,0.02690583,1.49549389,[1.49549389        NA        NA]
Npr2,0.77540107,2.154024654,[2.15402465 1.34829179 3.90568779]
Npr3,1.075757576,4.748330282,[4.74833028 3.43417508 6.7584337 ]
Nprl3,0.479452055,1.016260517,[1.01626052 0.51570801 3.21293406]
Nptn,5.857142857,3.150450709,[3.15045071 2.60777071 3.82196664]
Nptx1,0.040358744,7.901972206,[7.90197221        NA        NA]
Nptx2,0.154929577,1.570135764,[1.61723984 0.82784778 3.26621004]
Nqo1,7.089285714,5.733124248,[5.56113052 4.70049985 6.66234092]
Nqo2,0.725581395,1.002670146,[1.00267015 0.68042102 1.43238573]
Nr1d2,0.647058824,1.290385438,[1.29038544 0.87272619 1.89154433]
Nr1h2,3.814479638,5.811333157,[5.81133316 3.65469421 8.84749653]
Nr1h3,0.13592233,13.15215374,[13.15215374  4.71680112 37.48382674]
Nr2c1,1.100502513,3.937153981,[3.93715398 2.33519985 6.61068678]
Nr2c2,0.644295302,3.884279947,[3.88427995 2.01411737 7.51265301]
Nr2c2ap,0.459016393,5.214987471,[5.21498747        NA        NA]
Nr3c1,2.846889952,2.357168359,[2.28645331 1.82619244 2.91804302]
Nr4a1,0.927710843,7.743606867,[ 7.74360687  5.13244855 12.35664305]
Nradd,3.325791855,7.213323181,[ 7.42972288  5.19197278 10.06746681]
Nras,1.01793722,1.175125722,[1.17512572 0.83665331 1.60672058]
Nrbp1,1.909502262,2.222444179,[2.22244418 1.25771615 3.87025097]
Nrcam,0.071428571,7.91346764,[7.91346764        NA        NA]
Nrd1,3.06779661,4.020360999,[4.020361   2.85073738 5.90510014]
Nrf1,0.748858447,1.957210641,[1.95721064 1.3840527  2.75311956]
Nrg1,0.373786408,1.572890657,[1.57289066 0.91976341 2.51796525]
Nrip1,0.505434783,5.066602187,[5.06660219 2.892922   8.82402091]
Nrm,0.825301205,7.044823486,[ 7.04482349  4.22411501 11.54753203]
Nrn1,1.684848485,10.76433362,[10.76433362  6.85945951 17.38750218]
Nrp1,3.763888889,6.060132032,[6.06013203 4.91127824 7.4756667 ]
Nrp2,3.183574879,10.63063634,[10.63063634  7.85805046 14.2305357 ]
Nsa2,1.47761194,3.915750561,[3.91575056 2.35812279 6.14095615]
Nsd1,1.540909091,1.323966024,[1.24452806 0.92113443 1.65867049]
Nsdhl,2.413953488,7.697967213,NA
Nsfl1c,2.974747475,3.119019651,[3.11901965 2.46915105 3.92042233]
Nsg1,1.841346154,6.276596455,[6.27659645 4.24302221 9.01878137]
Nsmaf,1.223809524,2.831298747,[2.83129875 2.10800261 3.81783881]
Nsmce1,2.160550459,4.828349498,[4.8283495  3.24410178 7.00467269]
Nsmce2,2.149321267,2.771221724,[2.77122172 2.04584651 3.54056   ]
Nsmce4a,1.282407407,1.931664297,[1.9316643  1.4031396  2.62814949]
Nsun2,4.090909091,3.57634355,[3.57634355 2.759143   4.45124849]
Nsun4,0.745454545,3.895950572,[3.89595057 2.21550793 6.70161951]
Nsun5,0.773755656,1.843462514,[1.84346251 1.13413326 3.36091168]
Nsun6,0.29245283,2.144031858,[2.14403186 1.29295225 3.65854311]
Nt5c2,0.897560976,3.773608334,[ 3.77360833  1.7924803  10.04046866]
Nt5c3,0.843049327,1.154711084,[1.15471108 0.81232574 1.61872614]
Nt5dc2,2.192825112,2.269806585,[2.26980658 1.6403297  3.86555791]
Nt5dc3,0.613636364,2.713153443,[2.71315344 1.39900112 5.30013431]
Ntan1,4.913242009,4.435812511,[4.43581251 3.32537639 6.35297379]
Nthl1,0.426605505,3.620168199,[5.79226912        NA        NA]
Ntpcr,1.286995516,1.907005791,[1.84979562 1.3878881  2.45466957]
Ntrk2,0.035714286,9.581598838,[9.58159884        NA        NA]
Nuak1,1.542857143,2.477887157,[2.47788716 1.89158854 3.26036956]
Nuak2,1.801801802,3.151722362,[3.15172236 2.46107948 4.07073039]
Nub1,1.095505618,2.019119685,[1.95854609 1.38430863 2.72925119]
Nubp1,3.254545455,6.146568515,[6.14656852 4.07033584 8.88253512]
Nucb1,10.75586854,18.15853828,[18.15853828 14.0318279  23.31102437]
Nucb2,3.333333333,4.300278464,[4.17127011 3.42188928 5.2751561 ]
Nudc,7.577464789,16.11462235,[16.11462235 12.59017459 20.46234693]
Nudcd1,0.796296296,1.378272185,[1.66770934 0.89791299 4.86987084]
Nudcd2,3.570135747,3.381170687,[3.27973557 2.68494344 4.09850076]
Nudcd3,3.361290323,12.22797596,[12.22797596  8.1027354  19.11486951]
Nudt13,0.163636364,1.79405035,[1.79405035        NA        NA]
Nudt14,0.891509434,3.770834766,[3.77083477 2.23681626 6.18742627]
Nudt16,1.574358974,4.024345691,[4.02434569 3.01612092 5.47446211]
Nudt16l1,1.361502347,6.440914763,[6.44091476        NA        NA]
Nudt18,0.696132597,7.309608682,[7.30960868        NA        NA]
Nudt19,1.882352941,2.716569994,[2.71656999 1.61686036 4.49833972]
Nudt22,1.056603774,2.028466701,[2.0284667  1.47554738 2.74064538]
Nudt3,5.660714286,3.60351746,[3.38730641 2.82719357 4.15126833]
Nudt4,7.013888889,7.44791486,[7.22447741 6.07074881 8.87310078]
Nudt5,2.695876289,9.980644632,[ 9.98064463  6.94260003 14.33654186]
Nudt7,0.441441441,1.067859378,[1.00378781 0.64407292 1.57199606]
Nudt8,0.765258216,1.190970793,[1.19097079 0.80724756 1.70881936]
Nuf2,0.734234234,9.234458499,[ 9.2344585   5.89330531 14.46539375]
Numa1,1.917582418,5.669203518,[5.66920352 3.26945463 9.98428155]
Numb,0.476190476,1.710186614,[1.71018661 1.09920792 2.67889721]
Nup133,0.778846154,2.708924062,[2.70892406 1.89593398 3.84092422]
