gene,mean_exprs,bs,bs_conf_ul,bs_conf_ll
Lgals3,31.50446429,23.70736039,28.18537158,20.7910859
Lgals3bp,12.98648649,8.618272659,10.32168041,7.45067891
Lgals8,2.819004525,4.681130429,7.04430661,3.00747698
Lgals9,4.722727273,9.807834344,12.85122322,7.38066797
Lgmn,5.233183857,6.122691491,8.11984586,4.41501518
Lgr4,1.09929078,8.48475488,13.52749353,5.60208143
Lhfp,5.852678571,5.544169742,6.51059014,4.48291725
Lhfpl2,3.527777778,6.571772816,8.88390352,4.91888711
Lias,1.209090909,2.927688872,4.97585781,1.62617099
Lig1,1.268518519,8.833391025,12.82798689,5.9366324
Lima1,9.183856502,9.802920534,11.66850876,8.16496993
Limd1,1.337899543,1.541513297,2.04374129,1.15214913
Limd2,2.009478673,3.840609636,4.14963624,2.5176591
Limk2,1.85483871,8.281780827,11.91340872,5.78208073
Lims1,6.301801802,3.365000947,4.03699627,2.73186956
Lims2,1.260273973,1.758500491,2.33315834,1.31665108
Lin37,1.134259259,4.556121419,10.56115849,2.30840118
Lman1,10.11872146,16.43306585,21.8586564,12.23315401
Lman2,14.68918919,12.53628099,16.56180428,8.69875029
Lmbrd1,1.252380952,2.641886559,4.44383504,1.54109332
Lmf1,2.96373057,3.867491757,5.61478819,2.85668149
Lmna,30.49553571,24.22437053,28.31570693,20.91873619
Lmo4,2.365079365,4.276676196,5.57952531,3.31939259
Lmod1,5.358851675,25.24528934,32.88541859,19.41652132
